word,postings
with,"[(0, 2), (3, 2), (4, 2), (5, 1), (6, 1), (7, 3), (10, 2), (11, 2), (12, 1), (13, 1), (14, 3), (15, 2), (16, 1), (17, 3), (18, 3), (20, 1), (21, 3), (23, 1), (24, 5), (25, 1), (27, 2), (29, 1), (30, 1), (32, 3), (33, 1), (34, 3), (35, 1), (36, 1), (37, 1), (38, 1), (39, 2), (41, 4), (42, 3), (43, 1), (44, 2), (46, 2), (47, 3), (48, 1), (49, 3), (51, 1), (53, 2), (54, 6), (55, 1), (56, 1), (57, 3), (59, 2), (61, 1), (62, 1), (64, 2), (65, 3), (66, 2), (67, 1), (68, 1), (70, 2), (71, 1), (72, 6), (73, 1), (74, 2), (75, 3), (76, 1), (77, 2), (78, 3), (79, 3), (80, 1), (81, 4), (82, 1), (83, 1), (84, 1), (86, 2), (88, 1), (89, 4), (90, 1), (91, 1), (92, 2), (95, 1), (96, 1), (97, 2), (99, 1), (100, 1), (101, 2), (103, 1), (105, 2), (106, 1), (107, 1), (108, 2), (109, 1), (110, 2), (111, 3), (112, 1), (113, 3), (114, 3), (116, 5), (117, 1), (118, 1), (119, 2), (120, 1), (122, 4), (123, 8), (124, 3), (126, 1), (128, 1), (129, 1), (130, 1), (131, 3), (132, 2), (134, 1), (136, 3), (137, 1), (138, 1), (139, 1), (140, 1), (141, 1), (144, 1), (146, 1), (147, 1), (148, 1), (150, 2), (151, 3), (152, 2), (153, 2), (154, 1), (155, 3), (156, 4), (157, 3), (158, 3), (159, 4), (160, 1), (161, 2), (162, 1), (163, 1), (165, 2), (166, 1), (168, 1), (169, 2), (170, 2), (171, 3), (172, 1), (174, 2), (175, 1), (177, 1), (179, 1), (180, 2), (181, 1), (183, 1), (184, 1), (185, 1), (186, 4), (187, 2), (188, 1), (189, 2), (190, 1), (191, 4), (192, 1), (194, 2), (195, 1), (196, 2), (197, 3), (199, 1)]"
coconut,"[(0, 1), (3, 1), (9, 1), (11, 1), (12, 2), (14, 1), (17, 1), (19, 4), (23, 1), (32, 1), (39, 1), (45, 1), (46, 1), (49, 1), (54, 1), (56, 1), (58, 2), (66, 2), (67, 2), (68, 1), (69, 1), (73, 2), (113, 1), (119, 1), (121, 1), (122, 1), (123, 2), (125, 1), (127, 3), (148, 1), (153, 1), (162, 1), (171, 1), (191, 1)]"
handful,"[(0, 1)]"
spices,"[(0, 1), (3, 1), (4, 1), (5, 1), (17, 1), (18, 1), (19, 1), (21, 1), (23, 1), (24, 1), (25, 1), (29, 1), (30, 1), (36, 1), (46, 2), (48, 1), (51, 2), (54, 1), (57, 1), (59, 1), (60, 1), (61, 1), (62, 1), (63, 1), (64, 1), (65, 1), (72, 1), (73, 1), (78, 1), (87, 1), (101, 1), (105, 2), (114, 2), (122, 1), (123, 1), (128, 1), (129, 1), (130, 1), (132, 1), (133, 1), (136, 2), (147, 1), (148, 1), (155, 2), (164, 1), (180, 1), (184, 1), (186, 1), (194, 1), (201, 1)]"
sometimes,"[(0, 1)]"
given,"[(0, 1), (35, 1), (46, 1)]"
tempering,"[(0, 1), (67, 1)]"
enhances,"[(0, 1), (56, 1)]"
flavours,"[(0, 1), (7, 1), (17, 1), (21, 1), (35, 1), (61, 1), (78, 1), (105, 1), (154, 1), (159, 1), (174, 1)]"
serve,"[(0, 1), (3, 1), (15, 1), (16, 1), (32, 1), (34, 2), (41, 1), (49, 1), (54, 1), (56, 1), (57, 1), (72, 1), (75, 1), (97, 1), (107, 1), (111, 1), (114, 1), (119, 1), (123, 1), (134, 1), (156, 1), (163, 1), (184, 1), (186, 1), (191, 1)]"
this,"[(0, 1), (1, 1), (3, 1), (4, 1), (7, 1), (8, 1), (10, 1), (11, 1), (12, 1), (13, 1), (15, 1), (17, 2), (23, 1), (24, 1), (25, 2), (28, 1), (33, 1), (34, 1), (36, 1), (37, 1), (52, 1), (53, 1), (54, 1), (58, 1), (60, 1), (67, 2), (71, 1), (73, 1), (75, 4), (76, 1), (78, 1), (79, 1), (84, 1), (85, 1), (86, 4), (87, 2), (89, 1), (91, 1), (92, 2), (97, 2), (98, 1), (99, 2), (100, 2), (105, 1), (106, 1), (107, 1), (108, 1), (109, 2), (110, 1), (112, 1), (113, 1), (116, 2), (118, 1), (119, 2), (121, 1), (122, 1), (123, 1), (125, 2), (126, 1), (131, 1), (135, 1), (136, 1), (138, 1), (139, 3), (146, 2), (148, 1), (150, 1), (151, 5), (156, 1), (163, 1), (165, 2), (167, 1), (171, 4), (172, 1), (174, 1), (175, 1), (179, 1), (182, 1), (183, 1), (184, 1), (185, 1), (186, 1), (187, 2), (189, 1), (191, 3), (192, 1), (193, 1), (198, 2), (199, 1), (200, 1)]"
along,"[(0, 1), (5, 1), (18, 1), (27, 1), (29, 1), (30, 1), (32, 2), (34, 2), (41, 2), (42, 1), (47, 1), (49, 1), (53, 1), (54, 1), (57, 2), (65, 1), (72, 2), (73, 1), (76, 1), (81, 1), (86, 1), (89, 1), (91, 1), (97, 1), (114, 1), (118, 1), (124, 1), (132, 2), (134, 1), (136, 1), (138, 1), (147, 1), (152, 1), (156, 2), (157, 1), (163, 1), (169, 2), (172, 1), (184, 1), (185, 1), (189, 1), (191, 3), (199, 1)]"
hot,"[(0, 1), (3, 1), (4, 1), (10, 1), (16, 1), (21, 1), (47, 1), (54, 2), (92, 1), (97, 1), (102, 1), (110, 1), (111, 1), (118, 1), (122, 1), (126, 1), (136, 1), (188, 1), (194, 1)]"
steamed,"[(0, 1), (5, 1), (11, 1), (21, 1), (31, 1), (34, 1), (49, 1), (54, 1), (56, 1), (75, 1), (85, 1), (86, 1), (92, 1), (97, 1), (114, 1), (116, 1), (122, 1), (134, 1), (148, 1), (157, 1), (172, 1), (188, 1), (191, 2), (194, 1)]"
rice,"[(0, 1), (3, 2), (4, 1), (5, 1), (7, 1), (10, 1), (11, 1), (21, 1), (27, 1), (28, 1), (30, 1), (31, 1), (32, 1), (33, 1), (34, 2), (38, 1), (49, 2), (54, 2), (56, 2), (71, 1), (74, 3), (75, 1), (79, 1), (85, 1), (86, 1), (87, 2), (92, 1), (95, 1), (97, 1), (101, 1), (107, 1), (109, 1), (114, 1), (116, 1), (118, 1), (119, 1), (122, 1), (123, 1), (132, 1), (134, 1), (136, 1), (144, 1), (147, 1), (151, 3), (157, 1), (165, 1), (166, 1), (169, 2), (171, 1), (188, 1), (190, 1), (191, 2), (194, 1)]"
ghee,"[(0, 1), (11, 1), (51, 1), (54, 1), (64, 1), (97, 1), (136, 2), (155, 1), (183, 1), (196, 1)]"
first,"[(0, 1), (42, 1)]"
course,"[(0, 1), (73, 1), (100, 1), (121, 1), (177, 1), (183, 1), (196, 1)]"
during,"[(0, 1), (62, 1), (99, 2), (120, 1), (143, 1), (166, 1), (169, 1), (188, 1), (194, 1), (201, 1)]"
south,"[(0, 1), (4, 1), (21, 2), (22, 1), (27, 2), (46, 3), (54, 1), (59, 1), (71, 3), (80, 1), (97, 1), (105, 2), (125, 1), (127, 1), (138, 1), (157, 1), (179, 1), (191, 1)]"
indian,"[(0, 1), (15, 2), (16, 1), (17, 1), (21, 1), (22, 1), (24, 1), (25, 1), (26, 1), (27, 2), (32, 1), (37, 2), (41, 1), (46, 2), (47, 1), (54, 1), (59, 1), (63, 2), (65, 1), (71, 3), (76, 1), (97, 1), (100, 1), (110, 1), (123, 1), (124, 3), (125, 1), (126, 1), (127, 1), (138, 1), (157, 1), (165, 1), (177, 1), (179, 1), (183, 1), (191, 1), (193, 2)]"
lunch,"[(0, 1), (3, 1), (31, 1), (32, 1), (33, 1), (34, 1), (41, 2), (49, 1), (54, 1), (67, 1), (76, 2), (78, 1), (107, 1), (123, 2), (136, 1), (146, 1), (156, 1), (179, 1), (186, 2), (191, 1), (201, 1)]"
dinner,"[(0, 1), (8, 1), (16, 1), (18, 1), (31, 1), (32, 1), (33, 1), (34, 1), (41, 1), (54, 1), (57, 1), (107, 1), (114, 1), (119, 1), (134, 1), (136, 1), (146, 1), (156, 1), (157, 1), (179, 1), (181, 1), (184, 1), (186, 1), (191, 1), (197, 1)]"
you,"[(1, 2), (8, 1), (13, 1), (18, 1), (27, 1), (28, 2), (47, 1), (60, 3), (67, 2), (74, 2), (76, 2), (86, 1), (87, 1), (89, 1), (92, 1), (95, 1), (107, 1), (109, 1), (111, 1), (115, 1), (116, 2), (119, 2), (124, 2), (137, 1), (139, 1), (144, 1), (146, 1), (151, 1), (155, 1), (157, 1), (158, 1), (163, 2), (167, 1), (171, 1), (179, 1), (184, 1), (186, 1), (189, 1), (191, 1), (192, 1), (198, 2)]"
ever,"[(1, 1), (116, 1)]"
tried,"[(1, 1), (18, 1)]"
out,"[(1, 1), (16, 1), (19, 1), (49, 1), (57, 1), (77, 1), (98, 1), (120, 1), (136, 1), (156, 1), (166, 1), (182, 1)]"
fish,"[(1, 2), (18, 2), (21, 4), (43, 2), (69, 1), (118, 1), (133, 4), (196, 1)]"
tandoori,"[(1, 3), (80, 2)]"
trust,"[(1, 1), (16, 1)]"
me,"[(1, 1), (16, 1), (151, 1)]"
equally,"[(1, 1)]"
delicious,"[(1, 1), (5, 2), (12, 1), (16, 1), (22, 1), (23, 1), (24, 1), (28, 1), (33, 1), (37, 1), (41, 1), (44, 1), (51, 1), (52, 1), (53, 1), (61, 1), (64, 2), (65, 1), (66, 1), (67, 1), (72, 1), (78, 1), (80, 1), (81, 1), (83, 1), (84, 1), (94, 1), (95, 1), (96, 1), (100, 1), (101, 1), (102, 1), (112, 1), (116, 1), (118, 1), (121, 1), (126, 2), (129, 1), (130, 1), (136, 1), (139, 1), (150, 1), (151, 1), (159, 1), (164, 1), (171, 2), (172, 1), (174, 2), (177, 1), (192, 1), (197, 2), (200, 1)]"
chicken,"[(1, 1), (4, 3), (7, 3), (23, 1), (38, 2), (47, 3), (59, 1), (61, 2), (64, 2), (89, 2), (104, 1), (105, 7), (123, 1), (137, 5), (141, 1), (178, 1)]"
normally,"[(1, 3)]"
prepared,"[(1, 1), (3, 1), (26, 1), (27, 1), (30, 1), (36, 1), (45, 1), (49, 1), (53, 1), (67, 1), (113, 1), (120, 1), (121, 1), (123, 2), (136, 1), (138, 1), (151, 1), (153, 1), (169, 2), (192, 1)]"
tandoor,"[(1, 1)]"
oven,"[(1, 2), (47, 1)]"
but,"[(1, 1), (18, 2), (21, 1), (24, 1), (37, 1), (38, 1), (48, 1), (52, 1), (54, 1), (58, 1), (73, 2), (80, 1), (83, 1), (100, 1), (101, 2), (102, 1), (110, 1), (116, 2), (118, 1), (120, 1), (135, 1), (151, 1), (158, 1), (159, 4), (165, 1), (169, 2), (171, 1), (180, 1), (187, 1), (188, 1), (194, 1)]"
i,"[(1, 2), (13, 1), (16, 1), (110, 3), (118, 1), (121, 1), (137, 2), (139, 1), (146, 2), (151, 2), (159, 1), (165, 1), (167, 1)]"
prepare,"[(1, 1), (3, 1), (10, 1), (12, 1), (62, 1), (75, 1), (97, 1), (119, 2), (123, 1), (131, 1), (145, 1), (172, 1), (181, 1), (189, 1), (191, 1)]"
my,"[(1, 1), (10, 1), (110, 1), (151, 2)]"
convection,"[(1, 1)]"
choice,"[(1, 1), (34, 1), (49, 1), (78, 1), (150, 1), (158, 1)]"
completely,"[(1, 1)]"
upto,"[(1, 1)]"
same,"[(1, 1), (89, 1), (102, 1), (109, 1), (113, 1), (123, 1), (186, 1)]"
can,"[(1, 1), (3, 2), (8, 2), (27, 3), (29, 1), (37, 1), (40, 1), (49, 1), (60, 2), (67, 1), (74, 1), (76, 1), (78, 1), (86, 1), (88, 1), (89, 1), (93, 1), (95, 2), (97, 1), (103, 1), (105, 2), (107, 1), (109, 1), (111, 1), (116, 2), (118, 1), (119, 3), (123, 1), (131, 1), (135, 1), (137, 1), (139, 2), (144, 1), (146, 2), (151, 1), (157, 1), (158, 1), (159, 2), (163, 2), (165, 2), (181, 1), (189, 1), (192, 2), (194, 1), (198, 1), (201, 1)]"
be,"[(1, 1), (3, 2), (8, 2), (21, 1), (27, 2), (29, 1), (34, 1), (36, 1), (37, 1), (40, 1), (49, 2), (54, 1), (67, 1), (75, 1), (78, 2), (88, 1), (93, 1), (95, 1), (97, 1), (101, 1), (103, 1), (109, 2), (118, 1), (119, 1), (131, 1), (135, 1), (139, 1), (144, 1), (146, 2), (151, 1), (159, 2), (162, 1), (163, 1), (165, 2), (181, 1), (192, 2), (194, 1), (201, 1)]"
used,"[(1, 1), (9, 1), (19, 1), (27, 1), (40, 1), (46, 1), (49, 1), (50, 1), (62, 1), (65, 1), (73, 1), (75, 1), (77, 1), (85, 1), (91, 1), (105, 2), (110, 2), (116, 2), (118, 4), (121, 2), (131, 2), (135, 2), (142, 1), (144, 1), (151, 2), (159, 1), (179, 1), (191, 1), (194, 1), (195, 1)]"
for,"[(1, 2), (3, 1), (8, 1), (9, 1), (18, 1), (20, 1), (21, 2), (24, 1), (27, 1), (29, 1), (31, 3), (32, 1), (33, 1), (34, 1), (36, 3), (37, 1), (41, 3), (53, 2), (54, 1), (57, 1), (60, 4), (67, 2), (72, 1), (75, 2), (76, 4), (77, 2), (78, 1), (80, 1), (81, 1), (85, 2), (86, 1), (87, 2), (91, 1), (95, 1), (97, 1), (100, 2), (101, 2), (103, 1), (105, 1), (107, 1), (109, 2), (110, 1), (114, 1), (115, 1), (116, 2), (119, 1), (121, 1), (122, 2), (123, 1), (134, 1), (135, 1), (136, 1), (146, 1), (150, 1), (155, 1), (156, 1), (157, 1), (158, 1), (159, 1), (162, 1), (165, 2), (167, 1), (173, 1), (177, 1), (179, 1), (181, 1), (184, 2), (186, 3), (191, 5), (192, 1), (195, 1), (196, 2), (201, 1)]"
fillets,"[(1, 1)]"
too,"[(1, 1), (27, 1), (41, 1), (60, 1), (75, 1), (76, 1), (80, 1), (116, 1), (137, 1), (139, 2), (159, 1), (174, 1)]"
use,"[(1, 1), (37, 1), (48, 1), (49, 1), (63, 1), (70, 1), (77, 1), (83, 1), (98, 1), (105, 2), (115, 1), (116, 1), (133, 1), (145, 1), (172, 1), (180, 1)]"
pompano,"[(1, 1)]"
kingfish,"[(1, 1)]"
arbi,"[(2, 1), (44, 1), (71, 1), (95, 3)]"
shimla,"[(2, 1)]"
mirch,"[(2, 1), (81, 1)]"
sabzi,"[(2, 2), (44, 2), (56, 2), (60, 1), (81, 1), (84, 1), (86, 1), (108, 2), (111, 2), (114, 1), (117, 1), (119, 2), (120, 1), (139, 4), (156, 2), (161, 1), (177, 1), (179, 1), (184, 1), (185, 1), (197, 2), (201, 1)]"
variation,"[(2, 1), (16, 1), (25, 1), (58, 1), (158, 1), (165, 1)]"
aloo,"[(2, 1), (37, 1), (41, 1), (42, 1), (78, 2), (114, 1), (126, 1), (139, 2), (149, 1), (188, 1), (199, 3)]"
capsicum,"[(2, 1)]"
dry,"[(2, 1), (9, 1), (42, 1), (44, 1), (70, 2), (79, 1), (86, 1), (101, 1), (116, 2), (152, 1), (161, 1), (180, 1), (196, 1)]"
that,"[(2, 1), (4, 1), (5, 1), (6, 1), (7, 2), (9, 1), (11, 1), (13, 1), (15, 1), (16, 2), (17, 1), (21, 1), (27, 1), (29, 1), (30, 1), (37, 3), (39, 2), (40, 1), (46, 1), (47, 1), (48, 1), (49, 1), (50, 1), (51, 2), (53, 1), (61, 1), (63, 1), (67, 1), (76, 1), (81, 1), (84, 1), (87, 2), (88, 1), (91, 2), (92, 1), (93, 2), (97, 1), (104, 1), (105, 2), (107, 1), (110, 1), (116, 1), (118, 1), (119, 1), (121, 1), (124, 1), (125, 1), (129, 1), (131, 1), (135, 2), (136, 2), (138, 1), (144, 1), (147, 1), (149, 1), (151, 2), (155, 2), (156, 1), (157, 1), (158, 1), (159, 1), (166, 1), (168, 1), (169, 2), (170, 1), (171, 1), (176, 1), (179, 2), (181, 1), (184, 1), (190, 1), (194, 1), (195, 2), (198, 3), (200, 1), (201, 1)]"
often,"[(2, 1), (15, 1), (77, 1), (151, 1), (192, 1)]"
at,"[(2, 1), (8, 1), (41, 1), (53, 1), (102, 1), (103, 1), (118, 1), (121, 1), (124, 1), (139, 1), (146, 1), (147, 1), (151, 2), (156, 1), (173, 1), (186, 1), (198, 1)]"
our,"[(2, 1), (117, 1), (142, 2), (192, 1)]"
households,"[(2, 1), (33, 1), (58, 1), (86, 1), (134, 1), (166, 1)]"
cabbage,"[(3, 2), (10, 2)]"
carrot,"[(3, 2), (122, 1), (138, 1)]"
thoran,"[(3, 3), (127, 1)]"
simple,"[(3, 2), (8, 1), (9, 1), (12, 1), (14, 1), (29, 1), (30, 1), (33, 1), (34, 1), (35, 1), (48, 1), (49, 2), (52, 1), (57, 1), (71, 1), (72, 1), (73, 1), (76, 1), (81, 1), (98, 1), (102, 1), (114, 1), (117, 1), (118, 1), (119, 1), (120, 1), (129, 1), (134, 1), (138, 2), (145, 1), (151, 1), (154, 1), (156, 1), (161, 1), (162, 1), (167, 1), (185, 1), (189, 1), (198, 2)]"
kerala,"[(3, 1), (15, 1), (21, 1), (33, 2), (38, 2), (68, 1), (69, 1), (123, 1), (127, 1), (162, 1)]"
cuisine,"[(3, 1), (7, 1), (21, 1), (23, 1), (35, 1), (46, 1), (49, 1), (68, 1), (70, 1), (91, 1), (102, 2), (105, 3), (118, 1), (123, 1), (132, 1), (142, 1), (149, 1), (173, 1), (185, 1), (189, 1), (193, 1), (195, 1)]"
preparation,"[(3, 1), (54, 1), (75, 1), (105, 1), (116, 2), (146, 1), (155, 1)]"
commonly,"[(3, 1), (65, 1)]"
done,"[(3, 1), (78, 1), (119, 1), (156, 1), (165, 1), (181, 1)]"
all,"[(3, 1), (13, 1), (15, 1), (18, 1), (29, 1), (36, 1), (47, 2), (84, 1), (90, 1), (105, 1), (106, 1), (109, 1), (111, 1), (142, 1), (148, 1), (151, 1), (156, 1), (158, 1), (160, 1), (178, 1), (182, 1), (193, 1)]"
houses,"[(3, 1)]"
served,"[(3, 1), (5, 1), (8, 1), (24, 1), (29, 1), (46, 1), (53, 1), (63, 1), (75, 1), (77, 1), (78, 1), (81, 1), (95, 1), (99, 1), (103, 2), (118, 2), (123, 2), (126, 1), (146, 1), (157, 1), (159, 1), (163, 1), (165, 2), (171, 1), (188, 1), (194, 4)]"
an,"[(3, 1), (5, 1), (7, 1), (17, 1), (26, 1), (27, 1), (38, 1), (39, 1), (41, 1), (46, 2), (56, 1), (59, 1), (62, 1), (68, 1), (75, 1), (78, 2), (87, 1), (88, 1), (94, 1), (111, 1), (112, 1), (115, 2), (119, 1), (123, 1), (128, 1), (133, 1), (136, 1), (146, 1), (155, 1), (160, 1), (165, 1), (175, 1), (179, 1), (188, 1), (195, 1), (201, 1)]"
accompaniment,"[(3, 1), (31, 1), (53, 1), (79, 1), (85, 1), (101, 1), (103, 1)]"
are,"[(3, 1), (11, 1), (18, 2), (31, 1), (35, 1), (37, 1), (38, 1), (39, 1), (42, 1), (46, 1), (47, 1), (49, 2), (51, 1), (56, 1), (57, 1), (61, 1), (62, 1), (67, 1), (69, 1), (73, 1), (91, 1), (92, 1), (99, 2), (105, 1), (109, 2), (112, 1), (114, 1), (117, 2), (118, 3), (122, 2), (126, 3), (130, 2), (133, 1), (137, 2), (139, 1), (144, 1), (157, 1), (158, 1), (159, 5), (162, 1), (163, 3), (165, 1), (166, 1), (172, 4), (173, 1), (175, 1), (179, 2), (185, 1), (191, 1), (192, 1), (194, 1), (196, 1), (201, 1)]"
grated,"[(3, 2), (14, 1), (29, 1), (124, 1), (200, 1)]"
finely,"[(3, 1)]"
mixed,"[(3, 1), (6, 2), (10, 1), (12, 2), (27, 1), (47, 1), (60, 1), (94, 1), (109, 3), (113, 1), (140, 1), (143, 2), (144, 1), (145, 1), (153, 1), (187, 1), (191, 1)]"
cooked,"[(3, 1), (9, 1), (10, 1), (12, 1), (22, 1), (24, 1), (25, 1), (35, 1), (42, 1), (46, 1), (49, 2), (50, 1), (61, 1), (62, 1), (63, 1), (69, 1), (70, 1), (77, 1), (79, 1), (84, 1), (86, 1), (91, 1), (94, 1), (114, 2), (119, 1), (124, 1), (128, 1), (131, 1), (132, 1), (133, 1), (135, 1), (147, 1), (151, 1), (155, 2), (165, 2), (174, 1), (191, 2), (201, 1)]"
medium,"[(3, 1), (188, 1)]"
flame,"[(3, 1)]"
without,"[(3, 1), (16, 1), (27, 1), (37, 1), (63, 1), (67, 1), (75, 1), (113, 1), (123, 1), (139, 2), (145, 1), (171, 1)]"
addition,"[(3, 1), (6, 1), (49, 1), (57, 1), (58, 1), (64, 1), (65, 1), (66, 1), (75, 1), (96, 1), (98, 1), (129, 1), (149, 1), (156, 1), (162, 1), (174, 1), (175, 1), (184, 2), (197, 1), (200, 1)]"
water,"[(3, 1), (49, 1), (109, 1), (118, 1)]"
generously,"[(3, 1)]"
added,"[(3, 1), (38, 1), (51, 1), (61, 1), (86, 1), (88, 1), (89, 1), (118, 1), (122, 1), (130, 1), (148, 1), (175, 1), (195, 1), (196, 1), (198, 1)]"
easily,"[(3, 1)]"
few,"[(3, 1), (12, 1), (23, 1), (49, 1), (118, 1), (197, 1)]"
minutes,"[(3, 1), (119, 1), (151, 1), (181, 1)]"
packed,"[(3, 1), (6, 1), (35, 1), (36, 2), (47, 1), (75, 1), (80, 1), (110, 1), (150, 1), (159, 1), (168, 1), (170, 1), (174, 1), (201, 1)]"
part,"[(3, 1), (39, 1), (41, 1), (46, 1), (68, 1), (91, 1), (172, 1), (179, 1), (188, 1)]"
than,"[(3, 1), (105, 1), (151, 1)]"
usual,"[(3, 1), (17, 1), (191, 1)]"
poriyal,"[(3, 1), (49, 1), (143, 1), (157, 2)]"
boiled,"[(3, 1), (42, 1), (44, 1), (146, 1), (161, 2), (164, 1)]"
cheriya,"[(3, 1)]"
ulli,"[(3, 1)]"
sambar,"[(3, 1), (14, 1), (34, 1), (67, 2), (85, 2), (112, 1), (140, 1), (157, 1)]"
fried,"[(3, 1), (4, 1), (18, 1), (42, 1), (44, 1), (52, 1), (57, 1), (75, 1), (115, 2), (118, 1), (137, 7), (155, 1), (163, 1), (165, 1), (174, 1), (177, 1)]"
papad,"[(3, 1), (114, 1), (134, 1), (191, 1)]"
sholay,"[(4, 1)]"
kebab,"[(4, 2)]"
finger,"[(4, 1), (58, 1), (82, 1)]"
licking,"[(4, 1), (82, 1)]"
boneless,"[(4, 1)]"
india,"[(4, 1), (18, 1), (21, 1), (46, 1), (47, 1), (62, 1), (80, 1), (105, 3), (106, 1), (122, 1), (133, 1), (142, 1), (173, 2), (176, 1), (179, 1), (187, 1)]"
coated,"[(4, 1)]"
spicy,"[(4, 1), (5, 1), (6, 1), (10, 1), (21, 1), (26, 2), (31, 1), (33, 1), (39, 1), (40, 1), (41, 1), (49, 1), (50, 1), (53, 2), (56, 2), (66, 1), (70, 1), (79, 1), (80, 1), (91, 3), (101, 1), (102, 2), (107, 1), (110, 1), (122, 3), (131, 1), (151, 1), (159, 1), (176, 1), (188, 2), (189, 1), (191, 1), (194, 1), (195, 2)]"
purpose,"[(4, 1), (15, 1)]"
flour,"[(4, 3), (15, 1), (18, 1), (29, 1), (52, 1), (55, 1), (56, 1), (77, 1), (78, 1), (109, 1), (115, 2), (124, 1), (129, 1), (170, 1), (184, 1), (201, 1)]"
gram,"[(4, 1), (18, 1), (75, 1), (88, 1), (129, 1), (152, 1), (171, 1), (177, 2)]"
batter,"[(4, 1), (18, 1), (190, 1)]"
flavored,"[(4, 1), (32, 1), (153, 1), (170, 1), (196, 2)]"
some,"[(4, 1), (11, 1), (29, 1), (34, 1), (42, 1), (47, 2), (65, 1), (81, 1), (92, 1), (124, 2), (163, 1), (171, 1), (196, 1)]"
then,"[(4, 1), (28, 1), (42, 1), (47, 1), (60, 1), (61, 1), (64, 1), (73, 1), (100, 1), (130, 1), (152, 1), (172, 1)]"
deep,"[(4, 1), (115, 2), (177, 1)]"
oil,"[(4, 1), (12, 1), (34, 1), (67, 1), (75, 1), (84, 1), (98, 1), (101, 1), (156, 1), (162, 1), (174, 1), (177, 1), (186, 1)]"
dim,"[(5, 1)]"
posto,"[(5, 1), (149, 1)]"
bengali,"[(5, 1), (83, 1), (87, 1), (90, 2), (133, 1), (149, 2), (174, 2), (196, 1)]"
style,"[(5, 1), (8, 1), (9, 1), (12, 1), (14, 1), (19, 1), (20, 1), (25, 1), (26, 2), (31, 2), (41, 1), (46, 2), (48, 2), (49, 1), (50, 1), (53, 1), (58, 1), (60, 1), (67, 1), (70, 1), (71, 2), (73, 1), (75, 1), (80, 2), (82, 1), (83, 1), (85, 1), (87, 1), (89, 1), (90, 1), (91, 1), (93, 1), (97, 2), (104, 1), (105, 2), (112, 1), (113, 1), (114, 1), (127, 1), (130, 1), (135, 1), (152, 1), (153, 1), (161, 1), (166, 2), (169, 1), (172, 2), (174, 1), (185, 1), (191, 5), (196, 1), (201, 1)]"
egg,"[(5, 1), (24, 1), (65, 1), (123, 1), (158, 1), (188, 1), (192, 2), (195, 1)]"
poppy,"[(5, 1), (17, 1), (149, 2), (165, 2)]"
seed,"[(5, 1), (165, 1)]"
masala,"[(5, 1), (8, 1), (14, 1), (22, 2), (32, 1), (35, 1), (44, 1), (47, 4), (57, 1), (59, 1), (62, 1), (64, 1), (66, 1), (70, 1), (81, 1), (85, 1), (91, 1), (94, 2), (101, 1), (111, 1), (112, 1), (121, 1), (122, 2), (124, 2), (126, 1), (127, 2), (135, 2), (140, 1), (141, 1), (147, 1), (148, 1), (156, 3), (164, 1), (167, 1), (193, 2), (195, 2)]"
simmered,"[(5, 1), (28, 1), (39, 1), (56, 1), (72, 1), (113, 1), (149, 1), (153, 1)]"
easy,"[(5, 1), (10, 1), (12, 1), (33, 1), (60, 2), (75, 1), (78, 1), (81, 1), (92, 1), (97, 1), (105, 1), (119, 1), (126, 1), (138, 1), (145, 1), (146, 1), (151, 1), (163, 1), (186, 1), (189, 1), (201, 1)]"
make,"[(5, 1), (11, 1), (12, 1), (18, 1), (33, 1), (49, 2), (60, 2), (61, 2), (64, 1), (67, 2), (72, 2), (73, 1), (80, 1), (83, 1), (93, 1), (95, 1), (97, 1), (102, 1), (115, 1), (126, 1), (136, 2), (138, 1), (148, 1), (151, 3), (152, 1), (156, 1), (159, 1), (163, 1), (165, 2), (167, 1), (172, 1), (184, 1), (185, 1), (186, 1), (189, 1), (196, 1), (198, 2), (201, 1)]"
dish,"[(5, 1), (6, 1), (12, 2), (16, 1), (18, 1), (20, 1), (21, 2), (24, 2), (25, 1), (28, 2), (31, 2), (32, 1), (34, 1), (35, 2), (36, 3), (37, 1), (40, 1), (41, 1), (42, 1), (44, 1), (49, 1), (53, 3), (56, 1), (60, 1), (62, 1), (63, 1), (68, 1), (69, 2), (74, 1), (75, 4), (80, 2), (81, 2), (85, 1), (86, 3), (88, 1), (89, 1), (90, 1), (92, 2), (93, 2), (94, 1), (95, 1), (97, 1), (98, 1), (101, 1), (103, 2), (105, 1), (106, 2), (109, 1), (111, 1), (113, 2), (118, 1), (120, 2), (123, 1), (126, 1), (129, 1), (132, 1), (135, 1), (136, 1), (138, 1), (144, 3), (145, 1), (149, 2), (153, 1), (156, 1), (157, 1), (162, 1), (163, 1), (164, 1), (165, 1), (171, 5), (175, 1), (176, 1), (178, 1), (179, 1), (181, 1), (183, 1), (184, 1), (185, 1), (186, 1), (191, 1), (193, 2), (194, 1), (196, 1), (198, 1)]"
usually,"[(5, 1), (20, 1), (37, 1), (47, 1), (49, 1), (58, 1), (73, 1), (78, 1), (89, 1), (99, 2), (105, 1), (108, 1), (118, 2), (120, 1), (130, 1), (138, 1), (158, 1), (159, 2), (169, 1), (171, 1), (188, 1)]"
hyderabadi,"[(6, 1), (103, 3), (116, 2), (136, 1)]"
shahi,"[(6, 2)]"
